Date,Close
3/18/2019 16:00:00,4.88
3/19/2019 16:00:00,4.99
3/20/2019 16:00:00,4.92
3/21/2019 16:00:00,4.81
3/22/2019 16:00:00,4.79
3/25/2019 16:00:00,4.57
3/26/2019 16:00:00,4.56
3/27/2019 16:00:00,4.62
3/28/2019 16:00:00,4.54
3/29/2019 16:00:00,4.78
4/1/2019 16:00:00,4.97
4/2/2019 16:00:00,5.74
4/3/2019 16:00:00,6.19
4/4/2019 16:00:00,5.82
4/5/2019 16:00:00,6.26
4/8/2019 16:00:00,6.83
4/9/2019 16:00:00,6.64
4/10/2019 16:00:00,7.32
4/11/2019 16:00:00,6.66
4/12/2019 16:00:00,6.49
4/15/2019 16:00:00,6.14
4/16/2019 16:00:00,6.69
4/17/2019 16:00:00,6.71
4/18/2019 16:00:00,6.9
4/22/2019 16:00:00,7.07
4/23/2019 16:00:00,7.39
4/24/2019 16:00:00,6.79
4/25/2019 16:00:00,6.98
4/26/2019 16:00:00,6.28
4/29/2019 16:00:00,6.21
4/30/2019 16:00:00,6.61
5/1/2019 16:00:00,6.75
5/2/2019 16:00:00,6.85
5/3/2019 16:00:00,7.33
5/6/2019 16:00:00,7.52
5/7/2019 16:00:00,7.81
5/8/2019 16:00:00,7.84
5/9/2019 16:00:00,8.23
5/10/2019 16:00:00,8.6
5/13/2019 16:00:00,10.21
5/14/2019 16:00:00,9.48
5/15/2019 16:00:00,10.55
5/16/2019 16:00:00,9.94
5/17/2019 16:00:00,9.23
5/20/2019 16:00:00,9.95
5/21/2019 16:00:00,10.4
5/22/2019 16:00:00,10.17
5/23/2019 16:00:00,9.99
5/24/2019 16:00:00,10.7
5/28/2019 16:00:00,11.44
5/29/2019 16:00:00,11.63
5/30/2019 16:00:00,11.63
5/31/2019 16:00:00,11.06
6/3/2019 16:00:00,10.77
6/4/2019 16:00:00,9.12
6/5/2019 16:00:00,9.82
6/6/2019 16:00:00,9.25
6/7/2019 16:00:00,10.36
6/10/2019 16:00:00,10.25
6/11/2019 16:00:00,9.8
6/12/2019 16:00:00,10.45
6/13/2019 16:00:00,10.75
6/14/2019 16:00:00,10.8
6/17/2019 16:00:00,12
6/18/2019 16:00:00,11.46
6/19/2019 16:00:00,11.46
6/20/2019 16:00:00,12.73
6/21/2019 16:00:00,13.55
6/24/2019 16:00:00,14.64
6/25/2019 16:00:00,14.88
6/26/2019 16:00:00,17.08
6/27/2019 16:00:00,13.82
6/28/2019 16:00:00,15.13
7/1/2019 16:00:00,12.73
7/2/2019 16:00:00,13.96
7/3/2019 13:00:00,14.7
7/5/2019 16:00:00,14.67
7/8/2019 16:00:00,15.73
7/9/2019 16:00:00,16.35
7/10/2019 16:00:00,15.24
7/11/2019 16:00:00,14.89
7/12/2019 16:00:00,14.85
7/15/2019 16:00:00,14.46
7/16/2019 16:00:00,12.61
7/17/2019 16:00:00,12.85
7/18/2019 16:00:00,13.67
7/19/2019 16:00:00,13.23
7/22/2019 16:00:00,13.09
7/23/2019 16:00:00,13.18
7/24/2019 16:00:00,12.27
7/25/2019 16:00:00,12.59
7/26/2019 16:00:00,12.49
7/29/2019 16:00:00,12.16
7/30/2019 16:00:00,12.77
7/31/2019 16:00:00,13.64
8/1/2019 16:00:00,13.98
8/2/2019 16:00:00,14.18
8/5/2019 16:00:00,14.6
8/6/2019 16:00:00,14.77
8/7/2019 16:00:00,14.97
8/8/2019 16:00:00,14.5
8/9/2019 16:00:00,14.88
8/12/2019 16:00:00,14.6
8/13/2019 16:00:00,13.52
8/14/2019 16:00:00,12.28
8/15/2019 16:00:00,12.71
8/16/2019 16:00:00,13.45
8/19/2019 16:00:00,13.74
8/20/2019 16:00:00,13.5
8/21/2019 16:00:00,13.08
8/22/2019 16:00:00,13.23
8/23/2019 16:00:00,13.44
8/26/2019 16:00:00,13.01
8/27/2019 16:00:00,12.73
8/28/2019 16:00:00,11.86
8/29/2019 16:00:00,11.6
8/30/2019 16:00:00,11.72
9/3/2019 16:00:00,12.93
9/4/2019 16:00:00,13.17
9/5/2019 16:00:00,12.85
9/6/2019 16:00:00,12.65
9/9/2019 16:00:00,12.29
9/10/2019 16:00:00,12.05
9/11/2019 16:00:00,12.28
9/12/2019 16:00:00,12.68
9/13/2019 16:00:00,12.59
9/16/2019 16:00:00,12.25
9/17/2019 16:00:00,12.79
9/18/2019 16:00:00,12.59
9/19/2019 16:00:00,12.65
9/20/2019 16:00:00,12.8
9/23/2019 16:00:00,12.22
9/24/2019 16:00:00,11.06
9/25/2019 16:00:00,10.2
9/26/2019 16:00:00,10.05
9/27/2019 16:00:00,9.83
9/30/2019 16:00:00,10.59
10/1/2019 16:00:00,9.9
10/2/2019 16:00:00,9.66
10/3/2019 16:00:00,9.75
10/4/2019 16:00:00,9.79
10/7/2019 16:00:00,9.85
10/8/2019 16:00:00,9.64
10/9/2019 16:00:00,10.38
10/10/2019 16:00:00,10.33
10/11/2019 16:00:00,9.81
10/14/2019 16:00:00,9.72
10/15/2019 16:00:00,9.28
10/16/2019 16:00:00,8.76
10/17/2019 16:00:00,8.97
10/18/2019 16:00:00,8.73
10/21/2019 16:00:00,9.07
10/22/2019 16:00:00,9.02
10/23/2019 16:00:00,8.55
10/24/2019 16:00:00,8.48
10/25/2019 16:00:00,10.31
10/28/2019 16:00:00,11.26
10/29/2019 16:00:00,10.99
10/30/2019 16:00:00,10.85
10/31/2019 16:00:00,11.12
11/1/2019 16:00:00,11.2
11/4/2019 16:00:00,11.82
11/5/2019 16:00:00,11.65
11/6/2019 16:00:00,11.2
11/7/2019 16:00:00,10.88
11/8/2019 16:00:00,10.88
11/11/2019 16:00:00,10.76
11/12/2019 16:00:00,10.68
11/13/2019 16:00:00,10.66
11/14/2019 16:00:00,10.46
11/15/2019 16:00:00,10.26
11/18/2019 16:00:00,10.1
11/19/2019 16:00:00,9.61
11/20/2019 16:00:00,9.69
11/21/2019 16:00:00,9.31
11/22/2019 16:00:00,9.27
11/25/2019 16:00:00,9.04
11/26/2019 16:00:00,9
11/27/2019 16:00:00,9.58
11/29/2019 13:00:00,9.57
12/2/2019 16:00:00,8.99
12/3/2019 16:00:00,8.99
12/4/2019 16:00:00,8.73
12/5/2019 16:00:00,8.81
12/6/2019 16:00:00,9
12/9/2019 16:00:00,8.82
12/10/2019 16:00:00,8.65
12/11/2019 16:00:00,8.62
12/12/2019 16:00:00,8.77
12/13/2019 16:00:00,8.79
12/16/2019 16:00:00,8.27
12/17/2019 16:00:00,8.01
12/18/2019 16:00:00,8.42
12/19/2019 16:00:00,8.44
12/20/2019 16:00:00,8.88
12/23/2019 16:00:00,9
12/24/2019 13:00:00,8.85
12/26/2019 16:00:00,8.82
12/27/2019 16:00:00,8.58
12/30/2019 16:00:00,8.42
12/31/2019 16:00:00,8.19
1/2/2020 16:00:00,7.98
1/3/2020 16:00:00,8.59
1/6/2020 16:00:00,8.99
1/7/2020 16:00:00,10.1
1/8/2020 16:00:00,9.32
1/9/2020 16:00:00,9.3
1/10/2020 16:00:00,9.6
1/13/2020 16:00:00,9.44
1/14/2020 16:00:00,10.03
1/15/2020 16:00:00,9.99
1/16/2020 16:00:00,9.72
1/17/2020 16:00:00,10.07
1/21/2020 16:00:00,9.74
1/22/2020 16:00:00,9.53
1/23/2020 16:00:00,8.99
1/24/2020 16:00:00,9.48
1/27/2020 16:00:00,9.82
1/28/2020 16:00:00,10.12
1/29/2020 16:00:00,10.9
1/30/2020 16:00:00,11.33
1/31/2020 16:00:00,10.9
2/3/2020 16:00:00,10.59
2/4/2020 16:00:00,10.54
2/5/2020 16:00:00,11.52
2/6/2020 16:00:00,11.7
2/7/2020 16:00:00,11.79
2/10/2020 16:00:00,12.18
2/11/2020 16:00:00,13
2/12/2020 16:00:00,13.48
2/13/2020 16:00:00,12.55
2/14/2020 16:00:00,13.21
2/18/2020 16:00:00,13.46
2/19/2020 16:00:00,13.13
2/20/2020 16:00:00,12.33
2/21/2020 16:00:00,12.54
2/24/2020 16:00:00,11.72
2/25/2020 16:00:00,10.54
2/26/2020 16:00:00,10.36
2/27/2020 16:00:00,10.51
2/28/2020 16:00:00,9.85
3/2/2020 16:00:00,10.36
3/3/2020 16:00:00,10
3/4/2020 16:00:00,10.04
3/5/2020 16:00:00,10.93
3/6/2020 16:00:00,10.58
3/9/2020 16:00:00,8.87
3/10/2020 16:00:00,9.26
3/11/2020 16:00:00,8.61
3/12/2020 16:00:00,6.42
3/13/2020 16:00:00,6.32
3/16/2020 16:00:00,5.54
3/17/2020 16:00:00,6.1
